VOL_MEAN,PET_MEAN,PET_KLASSE,LEITBAHN,BEWERTUNG,SHAPE.AREA,SHAPE.LEN
1057.58,19.6,hohe Qualität,0,mittel,76636.3995792,1453.65302041569
1011.08,19.42,hohe Qualität,0,mittel,17826.24611372,738.047783381383
1213.15,19.39,hohe Qualität,0,mittel,120107.79958824,2081.79519421114
1337.98,19.3,hohe Qualität,0,mittel,40135.59777112,1035.29573742595
1469.51,19.61,hohe Qualität,0,hoch,31718.69500876,1228.49261283515
1425.56,34.35,geringe Qualität,0,sehr hoch,3940.27966116,1617.98976737852
1121.78,18.44,hohe Qualität,0,gering,821640.41550384,16218.4020493987
801.76,33.38,geringe Qualität,0,gering,12214.49856598,693.349609948662
1065.05,31.76,geringe Qualität,0,gering,7738.18397244,391.773033032733
1316.45,25.38,mässige Qualität,0,gering,238.37833754,142.090088393709
0,20.64,hohe Qualität,0,gering,25.33883664,182.545602438761
0,24.15,mässige Qualität,0,gering,38.10938938,147.452107579665
0,19.76,hohe Qualität,0,mittel,34.02362508,31.671363361234
1738,26.64,mässige Qualität,0,hoch,137.4861562,53.4454789271774
1662.25,28.99,mässige Qualität,0,hoch,1835.8539737,184.215179276607
1447.8,19.71,hohe Qualität,0,hoch,30999.6753676,827.341391437111
1587.64,29.78,geringe Qualität,0,hoch,2506.33940374,408.978333107223
1556.74,29.5,geringe Qualität,0,hoch,990.50680826,126.712523225115
1686.1,19.42,hohe Qualität,0,sehr hoch,117056.20973318,2935.26047202396
1323.02,32.43,geringe Qualität,0,hoch,14704.79288654,525.547272874359
1166.01,30.07,geringe Qualität,0,hoch,2840.2604746,513.324443160908
1400.95,20.16,hohe Qualität,0,hoch,9918.6048055,501.029081582874
1179.02,30.78,geringe Qualität,0,hoch,324.24124662,74.1424614162326
1521.25,36.64,sehr geringe Qualität,0,hoch,25.23249338,25.4609698724908
1485.74,29.6,geringe Qualität,0,hoch,1350.92740284,201.371822156907
1590.67,29.26,geringe Qualität,0,hoch,3317.38489008,234.864906097076
1698,29.06,geringe Qualität,0,hoch,136.68075994,54.1828081190324
1665.53,27.6,mässige Qualität,0,hoch,2243.98119984,349.063533858452
1220.11,33.36,geringe Qualität,0,hoch,3468.84312562,439.354041972036
1633.75,34.36,geringe Qualität,0,hoch,177.2766021,69.3172989981841
1181.47,38.32,sehr geringe Qualität,0,sehr hoch,654.47117986,230.147335806111
1865.5,33.97,geringe Qualität,0,hoch,29.1715071,27.4437682446131
1934.99,33.04,geringe Qualität,0,sehr hoch,1045.67485124,131.595154072618
0,36.46,sehr geringe Qualität,0,sehr hoch,29.5132452,28.9052623741192
1677.63,33.09,geringe Qualität,0,sehr hoch,61.6520903,34.5022058734342
1572.52,35.69,sehr geringe Qualität,0,sehr hoch,267.73703752,248.805928340801
1315.19,33.08,geringe Qualität,0,sehr hoch,2364.25541194,201.966075814086
1353.96,35.79,sehr geringe Qualität,0,sehr hoch,5851.19575626,429.279994770088
1579.88,32.54,geringe Qualität,0,sehr hoch,1135.45429584,174.12751601471
1460.3,30.38,geringe Qualität,0,sehr hoch,2642.61948882,223.87430122212
1472.7,30.06,geringe Qualität,1,sehr hoch,1054.76208808,140.897278058701
1370.16,34.17,geringe Qualität,1,sehr hoch,446.4503931,160.471766407345
1139.62,31.9,geringe Qualität,0,sehr hoch,3074.75700212,232.070533681819
965.93,31.53,geringe Qualität,0,sehr hoch,18299.23828062,2184.93107331551
1226.5,28.59,mässige Qualität,0,hoch,39.9679505,104.176691586899
1610,23.95,mässige Qualität,0,hoch,57.31854428,134.836877657008
1534.56,31.86,geringe Qualität,0,gering,30954.26024686,737.925561278724
1101.75,34.65,geringe Qualität,0,gering,46.26715698,32.7720292916291
1325.52,33.07,geringe Qualität,0,hoch,9595.39839542,470.449333406852
1356.19,20.71,hohe Qualität,0,hoch,40163.96083866,2012.64033721298
912.58,35.77,sehr geringe Qualität,0,hoch,5135.09234646,340.562987152058
1187.23,32.7,geringe Qualität,0,gering,23894.2851765,1004.5018171252
514.37,34.96,geringe Qualität,0,gering,543.09398946,154.878392143833
538.32,22.01,hohe Qualität,0,mittel,17922.0145531,697.97215461716
274.4,21.29,hohe Qualität,0,mittel,70134.4082452,2203.10029249468
1254.2,19.34,hohe Qualität,0,mittel,115.63543406,56.1195557509295
865.32,18.51,hohe Qualität,0,mittel,45347.08770706,971.180663059023
1794.13,25.72,mässige Qualität,0,gering,30.4910678,119.680896776275
2088.15,30.1,geringe Qualität,0,gering,1541.46459974,169.314781913247
1823.75,17.55,hohe Qualität,0,gering,257.35952204,71.3232512335146
2214.13,28.31,mässige Qualität,0,hoch,105.86300814,224.052102749249
2269.63,29.29,geringe Qualität,0,hoch,67.83798468,129.04641686488
2395.65,29.56,geringe Qualität,0,hoch,15305.30328886,853.253536939696
1787.75,27.76,mässige Qualität,0,hoch,28.57490354,97.6982984885412
2404.88,22.75,hohe Qualität,0,hoch,98.9704591,300.402542217832
2218.04,27.86,mässige Qualität,0,hoch,1305.21849706,319.858209599821
1680.75,30.72,geringe Qualität,0,hoch,36.3084286,131.810378402436
2367.32,28.89,mässige Qualität,0,hoch,2209.01873854,345.899314427362
1895.98,29,geringe Qualität,0,hoch,9813.90047734,404.71782820582
1723.65,26.27,mässige Qualität,0,hoch,132.04065188,139.022951229557
2533.5,30.73,geringe Qualität,0,hoch,43.11547592,29.9772007403364
0,30.73,geringe Qualität,0,gering,2.61415634,8.29085493492117
2572.45,28.97,mässige Qualität,0,hoch,16571.64157118,892.50984986616
1626,31.92,geringe Qualität,0,hoch,32.86347418,22.9322383508708
2360.5,28.46,mässige Qualität,0,hoch,41.21186482,26.0555590508956
2266.75,32.64,geringe Qualität,0,hoch,232.43629738,89.6323806743098
2171.2,25.7,mässige Qualität,0,hoch,974.80649778,126.989328617211
1867.24,30.79,geringe Qualität,0,hoch,29820.43987924,1200.78554011791
1819.13,30.99,geringe Qualität,0,hoch,55.45417912,121.906407762853
2875.61,31.29,geringe Qualität,0,hoch,301.90504336,143.621833587637
2346.85,19.79,hohe Qualität,0,hoch,7020.2704724,391.492942689397
2335.76,23.82,mässige Qualität,0,hoch,12689.07580476,1003.31622131728
1706.13,27.1,mässige Qualität,0,hoch,73.05383272,33.6336037465577
1358.59,31.06,geringe Qualität,0,hoch,8292.9661842,407.43482047673
1555.5,32.11,geringe Qualität,0,hoch,244.91720064,107.990388030281
1428.75,32.39,geringe Qualität,0,hoch,144.93712332,59.2624247722368
1990.25,31.89,geringe Qualität,0,hoch,48.68912928,27.4703483516549
