ROTATION,VOL_GR_1,E,N
15.02516,2,2676996.53,1248375.125
38.82555,2,2677332.603,1248477.872
39.58647,3,2677416.43,1248935.863
35.87846,3,2677481.138,1248982.369
328.58906,2,2677518.928,1246890.409
51.43222,2,2677680.119,1247613.122
44.77054,2,2677504.307,1248085.581
38.65977,3,2678088.972,1248193.419
35.23775,3,2677820.701,1248990.092
48.03671,3,2678048.41,1250436.001
71.34671,3,2678241.738,1250473.667
77.21145,2,2678419.694,1250613.993
32.65905,3,2678544.415,1246867.389
34.05754,3,2678684.49,1247207.89
133.30795,3,2678660.624,1249956.38
117.08963,3,2678524.913,1250265.141
121.94909,3,2678529.117,1250323.866
227.15092,2,2678475.761,1251640.088
246.83642,2,2678746.63,1251731.274
218.66422,2,2678743.944,1252045.695
30.36897,2,2678588.014,1252769.206
4.81303,2,2679064.926,1245579.841
349.52875,3,2678886.68,1246324.759
21.4776,3,2678847.215,1246703.74
26.30984,4,2678872.387,1246833.983
133.19245,2,2678982.82,1250193.038
55.98622,3,2679620.943,1245277.033
167.09483,1,2679509.826,1252112.067
181.78672,1,2679723.146,1251690.033
117.14833,1,2679848.434,1251912.261
97.63958,1,2680029.804,1251906.169
86.30685,1,2679895.322,1252091.345
59.91874,1,2680057.578,1252162.916
150.63787,2,2680351.009,1253467.222
46.6563,2,2680555.072,1241754.36
58.42676,4,2680453.642,1245381.086
42.89203,3,2680518.803,1245678.556
176.68861,2,2680561.597,1249621.713
271.51559,2,2680589.311,1251053.338
103.01601,3,2680930.425,1242747.69
66.48231,4,2680753.119,1244329.923
261.92368,2,2680816.18,1250775.754
274.58864,2,2680679.757,1251093.632
106.49636,3,2681031.678,1242899.021
116.67076,2,2681123.114,1243358.866
37.32394,2,2681301.05,1251725.803
298.97413,2,2681274.467,1252345.55
308.65986,1,2681293.763,1252709.258
135.95712,1,2681368.03,1250717.358
19.91124,1,2681349.269,1252931.647
19.89034,3,2681857.609,1242737.353
54.29138,2,2681954.655,1251194.135
76.51916,2,2681899.392,1252208.364
66.26701,2,2681829.174,1252594.328
21.03039,1,2681800.501,1252890.863
197.06684,2,2681696.331,1253522.93
183.56912,2,2681682.29,1253933.777
194.01841,2,2681947.556,1253786.333
70.11482,3,2682112.1,1242965.817
189.1049,2,2682068.305,1250424.068
18.31633,1,2682043.892,1252978.833
194.24103,2,2682071.399,1253812.229
88.96426,2,2682423.034,1250599.09
115.58784,2,2682433.156,1252503.424
178.94649,1,2682320.124,1253994.61
2.26856,3,2682905.878,1243314.516
12.13813,2,2682914.376,1246394.946
15.62423,2,2683052.451,1250923.009
296.37564,2,2683443.361,1250246.101
310.00087,2,2684294.999,1250195.731
314.71828,2,2684594.758,1249526.608
355.13061,2,2684642.85,1250393.243
247.38693,3,2685106.196,1245568.359
256.35094,4,2685137.388,1245619.864
239.55166,3,2685547.02,1245125.859
232.70285,3,2685570.66,1246752.805
285.7326,2,2685785.414,1247773.22
288.70653,2,2685490.175,1251926.662
210.84324,2,2685491.496,1252317.497
253.7339,4,2685927.212,1246419.457
230.40218,3,2685893.494,1246933.168
224.56636,3,2686099.285,1246712.884
236.75509,2,2685941.005,1247090.594
263.30393,2,2685827.623,1247632.597
278.39293,4,2686226.735,1245389.131
280.34032,1,2686399.573,1247442.834
307.81677,2,2686137.404,1247835.468
31.87662,3,2686128.759,1249241.763
222.50487,2,2686492.77,1246700.449
359.71208,1,2686585.932,1247460.041
349.13211,2,2686443.67,1247667.489
325.08107,2,2686572.213,1247774.042
16.51623,3,2686731.553,1249035.507
205.83219,2,2686869.026,1246552.686
201.7782,2,2686787.231,1246779.615
215.09332,2,2686773.444,1247088.819
347.38417,2,2686848.758,1248137.382
152.6925,1,2687309.294,1247212.334
236.18813,2,2687964.493,1245827.113
241.51836,2,2687806.281,1246472.698
156.73953,2,2687969.915,1246871.323
132.29892,2,2687817.651,1247072.452
53.5789,2,2687760.493,1247409.816
116.76063,2,2688088.967,1247029.021
39.93018,2,2688701.273,1246915.315
39.26046,2,2688740.068,1246724.598
54.1394,1,2689230.272,1245945.582
25.49471,2,2677166.752,1248587.208
47.03143,3,2677599.492,1248259.783
28.22903,3,2677683.724,1249491.786
33.19368,3,2677713.629,1249762.737
326.85694,2,2677908.601,1246629.685
51.07589,3,2677940.655,1247546.205
35.47126,3,2677845.039,1248052.085
38.74596,3,2678068.002,1248094.801
33.81054,3,2677844.588,1249046.718
71.52386,3,2678094.281,1250116.525
353.9549,2,2678336.484,1246537.054
45.75845,3,2678238.273,1248430.211
118.37424,2,2678420.883,1249953.276
68.35324,2,2678136.189,1250373.375
119.22807,3,2678162.327,1250402.914
61.48164,3,2678531.445,1247738.11
50.42681,1,2678502.76,1252670.302
25.33769,4,2678836.093,1246890.524
230.46072,2,2678798.175,1251765.106
218.76093,1,2678965.075,1251907.261
30.05269,2,2679320.791,1245610.221
204.4348,1,2679339.625,1252029.518
53.89273,4,2679796.627,1246078.748
45.81317,4,2679920.086,1246198.471
42.61408,3,2679814.941,1246453.276
95.37927,3,2679868.432,1247348.703
203.30744,2,2679864.85,1249824.251
236.00434,2,2679838.93,1249857.071
214.32735,2,2679949.728,1250464.062
187.94691,1,2679771.456,1251530.382
50.18755,2,2679749.083,1253951.704
64.00431,1,2680338.398,1243611.161
232.21468,2,2680178.021,1251191.031
158.74229,1,2680128.37,1251430.223
167.42533,2,2680338.258,1253280.063
112.81595,2,2680197.868,1253769.262
96.90851,2,2680418.105,1242147.98
56.20627,3,2680677.101,1241857.496
55.98113,4,2680402.87,1245280.742
49.95503,3,2680538.851,1245566.801
264.98229,2,2680648.158,1250919.037
113.13111,2,2680699.925,1242992.883
114.41701,2,2680877.553,1243445.662
21.4257,3,2680726.756,1247418.049
137.79727,2,2680832.922,1253554.769
105.75674,2,2681024.095,1242807.16
106.13376,4,2681107.239,1243090.943
113.55369,4,2681175.079,1242988.341
96.68931,2,2681018.908,1243495.569
55.61487,3,2681159.684,1243775.428
106.56213,3,2681292.972,1245432.554
353.22723,2,2681130.126,1251644.661
259.32362,1,2681147.486,1252523.444
65.55206,3,2681326.325,1243948.418
0.14554,2,2681624.925,1245552.778
134.73655,2,2681580.09,1250518.569
5.22025,2,2681325.981,1251338.536
129.5313,1,2681376.222,1253751.594
329.63123,3,2681773.112,1242788.062
356.25054,3,2681929.21,1243327.382
25.25745,3,2681709.7,1245319.602
28.52093,4,2681922.125,1245049.483
27.8194,2,2681651.441,1252344.205
64.03183,2,2681798.7,1252165.495
11.09799,1,2681773.154,1253049.981
16.73779,1,2681874.087,1253077.686
40.07627,3,2681975.433,1243070.287
60.76264,3,2682075.444,1244360.748
4.91552,3,2682038.091,1246272.494
115.09801,2,2682057.129,1252391.793
104.23986,1,2682137.002,1252784.281
11.89319,1,2682323.534,1253203.18
18.89718,1,2682375.776,1253084.978
126.02736,1,2682307.486,1253471.301
163.91886,1,2682360.693,1253692.502
171.8802,2,2682612.945,1253902.687
61.34243,2,2683068.492,1243017.354
174.99575,1,2683208.25,1252617.297
92.9573,2,2682998.453,1253427.048
287.44545,3,2683876.754,1249840.285
104.87434,1,2684112.285,1253850.543
239.58664,2,2684344.236,1249113.831
231.86706,2,2684500.734,1249152.453
275.69751,2,2684248.503,1249388.284
250.69398,2,2684260.766,1249240.651
302.10647,2,2684482.521,1249432.287
314.5322,2,2684424.718,1250087.199
222.45815,2,2684793.196,1248826.919
226.01182,2,2684594.793,1249000.904
219.29155,2,2684988.128,1248822.399
324.26684,1,2684845.701,1249241.662
12.50155,2,2684894.208,1249545.608
41.43707,1,2685321.059,1249178.407
262.29421,2,2685534.69,1247767.561
25.52037,3,2685550.862,1250747.871
25.7573,3,2685626.08,1250583.78
222.77848,2,2685612.552,1252521.232
317.63776,2,2686401.113,1247828.496
333.98998,2,2686379.005,1248242.796
39.22994,2,2686133.752,1248724.133
22.82751,2,2686240.141,1248972.674
33.03239,3,2686345.156,1249366.349
33.02417,3,2686280.449,1249644.545
28.09806,3,2686276.648,1250110.466
18.44295,3,2686312.34,1250371.595
259.92393,4,2686601.911,1245418.192
227.56449,3,2686475.63,1246599.255
