AREAHA,SHAPE.AREA,SHAPE.LEN
454.2855,4542856.74387408,10803.9999540769
316.2457,3162467.05384632,8768.12666580125
409.224,4092256.15900372,10252.1042137516
495.8969,4958972.7591001,13649.6269076517
126.9941,1269935.47336818,6903.28243684355
482.9739,4829719.60016634,15765.6229388072
217.9018,2179027.59284306,8835.12641857688
294.131,2941297.36607524,7919.01030291558
52.2494,522489.09124046,4056.33112688111
835.5683,8355617.46277062,16341.5113676824
296.842,2968421.37710896,10011.6948966143
292.0122,2920139.2333746,8837.60440949786
353.1226,3531238.38584878,11875.7429396544
919.3395,9193354.69561592,15515.7375289736
724.4577,7244610.49659432,15800.4119982083
521.9931,5219885.89958104,13822.8372055464
271.5082,2715063.97256894,7097.69229587033
2428.0725,24280820.6467549,36303.7527898649
639.8987,6398983.2804785,14572.292654713
247.0641,2470656.2086082,9018.8596150447
357.1467,3571486.11469846,9471.03486003702
535.681,5356806.79102636,13326.5290512321
261.4016,2614021.47266626,9704.93646676216
458.0853,4580860.94502532,10841.7622857708
238.6692,2386674.34881854,6315.82601627175
773.655,7736579.36504182,14592.8094191069
1021.3381,10213384.8538044,17477.8776882102
133.8192,1338176.32514942,6874.27795341599
1342.4087,13424223.3872925,22318.6600605046
333.4189,3334196.53580784,9219.92320066313
173.9903,1739897.97933342,9240.47412036298
481.3522,4813509.61606314,12189.8198665466
230.167,2301663.42148446,6798.98144508638
0.1218,1218.47619044,481.46218562534
219.3886,2193887.81669536,8423.78539938104
650.5673,6505719.67440584,21604.7678163819
