PET_KLASSE,NACHTBELAS,PET_MITTEL,T2M_MITTEL,SHAPE.AREA,SHAPE.LEN
sehr starke Belastung,hoch,39.99,19.13,59983.77691492,12945.0900536453
sehr starke Belastung,maessig,38.02,18.92,7598.22921048,356.04196808853
maessige Belastung,schwach,33.59,17.9,1854.53851952,1232.967988227
maessige Belastung,nicht vorhanden,29.12,16.32,490.85642496,164.582743926477
schwache Belastung,nicht vorhanden,27.64,16.08,1191.26509026,295.294790708161
keine Belastung,nicht vorhanden,20.91,16.87,28.34581652,103.91776764956
maessige Belastung,nicht vorhanden,29.72,17.35,73.91821942,42.2481610204369
schwache Belastung,schwach,25.06,17.71,216.01468488,165.766929405398
maessige Belastung,maessig,33.06,18.46,436.32381386,352.803785473711
starke Belastung,schwach,35.01,17.93,32.46789324,24.7844835687257
sehr starke Belastung,maessig,40.18,18.58,41.35679456,25.5843461800958
sehr starke Belastung,schwach,37.05,17.83,443.07783818,460.137207700816
maessige Belastung,nicht vorhanden,29.21,17.42,719.08360294,451.989800896749
sehr starke Belastung,maessig,37.88,18.49,124.87085934,65.9554589368843
maessige Belastung,schwach,31.89,17.82,6296.72681524,373.051590637935
maessige Belastung,schwach,34.03,17.9,159.97986356,85.8261442696195
starke Belastung,maessig,36.27,18.52,557.40574828,202.464390253837
schwache Belastung,schwach,28.03,17.62,932.50178682,628.648615307084
starke Belastung,maessig,35.29,18.33,175.53327314,60.7434226342441
sehr starke Belastung,maessig,37.32,18.58,215.3783218,280.735724440773
starke Belastung,hoch,36.94,19.09,46.76102002,35.0904546292659
starke Belastung,hoch,36.93,19.09,277.36794456,75.8460362837911
sehr starke Belastung,maessig,39.95,18.86,85.22358236,42.9307055433
maessige Belastung,schwach,34.66,17.79,1941.0187299,199.597987102161
starke Belastung,maessig,35.14,18.28,76.5398276,50.5724136123028
starke Belastung,maessig,35.7,18.35,3933.13864104,803.464301686068
sehr starke Belastung,maessig,37.38,18.7,908.30656532,251.37919834974
sehr starke Belastung,maessig,37.39,18.64,3904.75215696,999.7423765607
sehr starke Belastung,maessig,37.5,18.13,60.36489598,79.841167344891
sehr starke Belastung,maessig,37.99,18.13,437.0308372,262.134281723284
starke Belastung,nicht vorhanden,35.55,17.45,62.48976986,54.0705917765008
sehr starke Belastung,maessig,38.03,18.13,925.35030252,323.247883115952
starke Belastung,maessig,36.6,18.07,80.71586124,80.377311864806
sehr starke Belastung,maessig,39.55,18.07,30.4224995,27.1532321910871
starke Belastung,nicht vorhanden,35.75,17.48,3605.08913996,349.27611146689
sehr starke Belastung,maessig,37.98,18.12,96.87260666,61.1077542166905
sehr starke Belastung,maessig,39.95,18.49,83.98419124,113.199292042175
starke Belastung,maessig,36.26,18.19,141.1434065,112.541436760352
starke Belastung,maessig,35.15,18.08,38.77782766,35.2050604846151
starke Belastung,schwach,35.86,17.81,2758.10822306,227.228221828344
starke Belastung,nicht vorhanden,36.12,17.3,66.91345326,40.333192575732
starke Belastung,nicht vorhanden,35.89,17.3,108.88559616,50.8123523475364
sehr starke Belastung,maessig,40.17,18.07,44.90097772,28.3207330828322
sehr starke Belastung,maessig,37.91,18.2,728.92843506,584.802503846722
starke Belastung,schwach,36.38,17.6,128.95920654,48.7869791540402
sehr starke Belastung,maessig,37.69,18.31,566.065855,183.562869055355
sehr starke Belastung,maessig,37.5,18.51,118.85642032,51.1349196325232
sehr starke Belastung,maessig,37.53,18.48,182.98515282,151.918896627174
starke Belastung,maessig,35.8,18.48,1002.35387256,286.513640666125
sehr starke Belastung,hoch,38.92,19.09,173.51552668,201.219520355006
sehr starke Belastung,maessig,38.47,18.76,4929.9025646,1419.95328755637
starke Belastung,maessig,35.81,18.12,64.79093076,41.535149109663
starke Belastung,maessig,36.13,18.33,61.49100608,38.7707416453669
starke Belastung,schwach,36.52,17.89,125.2049784,85.4972229847113
sehr starke Belastung,maessig,38.79,18.57,310.64715052,173.605690458556
extreme Belastung,maessig,41.4,18.62,42.6647952,33.5898706316215
sehr starke Belastung,hoch,40.54,19.19,250.71366296,251.917177537908
extreme Belastung,hoch,41.19,19.07,314.4761461,414.937544033866
sehr starke Belastung,maessig,40.17,18.94,6860.0779792,1734.53857809738
sehr starke Belastung,maessig,37.78,18.59,6229.60487316,817.905314056834
sehr starke Belastung,hoch,39.36,19.18,1212.9204299,840.874219709707
sehr starke Belastung,hoch,38.59,19.12,25.1035055,23.9618212086698
starke Belastung,maessig,36.07,18.72,231.97987512,67.9422454935603
sehr starke Belastung,maessig,37.77,18.87,168.07600308,65.9165275172807
sehr starke Belastung,hoch,37.26,19.18,115.01203996,132.572949945808
starke Belastung,hoch,36.64,19.22,262.04332096,69.8731184031645
sehr starke Belastung,maessig,38.01,18.93,1800.57889196,186.680507628889
starke Belastung,hoch,36.87,19.17,7485.70482288,353.485232282256
starke Belastung,hoch,36.21,19.18,348.18381322,81.2302244688132
starke Belastung,hoch,36.46,19,56.12405942,46.8011593306127
maessige Belastung,maessig,34.73,18.73,3257.88148568,558.963106619478
maessige Belastung,nicht vorhanden,30.58,16.97,3568.90353272,3110.17216606644
starke Belastung,hoch,36.03,19.1,49.46465052,30.4971182447046
maessige Belastung,nicht vorhanden,30.48,16.45,405.07839742,419.766978044498
maessige Belastung,nicht vorhanden,33.6,17.49,1496.99526352,496.566609645611
schwache Belastung,nicht vorhanden,26.88,17.41,923.20404028,400.469406564679
maessige Belastung,schwach,34.57,17.88,47.1459455,29.0492509115628
starke Belastung,schwach,36.19,17.58,131.244822,49.3346388993134
maessige Belastung,maessig,33.16,18.12,1684.36546854,183.984361650552
maessige Belastung,schwach,34.46,17.93,894.38102954,317.936675862589
maessige Belastung,nicht vorhanden,31.38,16.33,397.83504788,105.221232039534
maessige Belastung,maessig,30.33,18.44,1773.14781626,485.143406284533
maessige Belastung,maessig,30.67,18.87,75.48893704,56.5104515229949
sehr starke Belastung,maessig,38.16,18.77,35.04507546,27.0752205522599
sehr starke Belastung,maessig,38.16,18.77,61.94573808,38.9222081522274
starke Belastung,maessig,36.22,18.16,56.78435498,57.0880398383045
sehr starke Belastung,maessig,37.98,18.61,65.30332378,35.680738672721
maessige Belastung,schwach,33.81,17.93,39.8772685,32.5559543054178
maessige Belastung,maessig,34.02,18.82,25.1028607,28.1337898748516
maessige Belastung,maessig,33.53,18.85,32.1022972,32.9461654175036
maessige Belastung,maessig,32.99,18.44,220.91505032,168.258132256106
maessige Belastung,maessig,32.99,18.22,88.6620238,82.3226551205338
maessige Belastung,maessig,33.17,18.55,589.80272616,178.701072745001
maessige Belastung,maessig,31.32,18.35,2554.96454378,262.232110386132
maessige Belastung,maessig,33.22,18.34,27.67681718,25.8780131470544
maessige Belastung,maessig,33.98,18.34,265.0871549,111.293883965956
