ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,TR,,261,11,Zürich,2019,Technischer Rest,1721773.09441739,8074.45736629474
8,B,,247,1,Schlieren,2019,Ueberbaut,8338.10807578,404.514634259893
1,TR,,261,11,Zürich,2019,Technischer Rest,16682.8072612,1516.62867724519
6,TR,,245,11,Oberengstringen,2019,Technischer Rest,85168.006811555,2005.31730194225
6,TR,,245,11,Oberengstringen,2019,Technischer Rest,273583.986998795,4109.24117706291
6,TR,,245,11,Oberengstringen,2019,Technischer Rest,61039.491512295,4477.18507736769
70,TR,,96,11,Regensdorf,2019,Technischer Rest,2884410.04678837,23508.0456701498
1,TR,,261,11,Zürich,2019,Technischer Rest,130722.648351165,1658.4277502718
9,TR,,248,11,Uitikon,2019,Technischer Rest,22530.912559,2421.9961130349
1,TR,,261,11,Zürich,2019,Technischer Rest,5660.31387869,368.555510599655
1,TR,,261,11,Zürich,2019,Technischer Rest,1812.238447,311.61400594706
1,TR,,261,11,Zürich,2019,Technischer Rest,3680.207614,314.335538374036
1,TR,,261,11,Zürich,2019,Technischer Rest,901.875378215,175.261776454233
1,TR,,261,11,Zürich,2019,Technischer Rest,16897.509502905,1051.88478880339
1,S,,261,2,Zürich,2019,Sofort baureif,316.00485667,71.3543629212602
1,S,,261,2,Zürich,2019,Sofort baureif,316.698739305,94.7090085007701
1,B,,261,1,Zürich,2019,Ueberbaut,2856.66602222,328.743170685292
1,TR,,261,11,Zürich,2019,Technischer Rest,14842.419754605,1481.53103844861
1,B,,261,1,Zürich,2019,Ueberbaut,70468.9048402,1039.60270529495
1,B,,261,1,Zürich,2019,Ueberbaut,8116.84542817,1162.85969356342
1,TR,,261,11,Zürich,2019,Technischer Rest,1193.136872,240.789447096821
1,B,,261,1,Zürich,2019,Ueberbaut,1639.493009505,309.233068870107
1,B,,261,1,Zürich,2019,Ueberbaut,19457.794915155,592.573383060071
1,TR,,261,11,Zürich,2019,Technischer Rest,3455.923206765,341.191417326767
1,B,,261,1,Zürich,2019,Ueberbaut,53956.25460301,1774.40362774186
1,S,,261,2,Zürich,2019,Sofort baureif,1664.442172935,278.661122539688
1,B,,261,1,Zürich,2019,Ueberbaut,5313.398163,298.680808952563
1,S,,261,2,Zürich,2019,Sofort baureif,1062.292382255,153.210371910458
1,B,,261,1,Zürich,2019,Ueberbaut,35561.059025165,839.433509506373
1,S,,261,2,Zürich,2019,Sofort baureif,7748.799464695,456.553166447245
1,TR,,261,11,Zürich,2019,Technischer Rest,27173.3174221,890.554123371885
1,B,,261,1,Zürich,2019,Ueberbaut,7171.912954895,418.719694188328
1,B,,261,1,Zürich,2019,Ueberbaut,30282.64765739,1170.87421473454
1,B,,261,1,Zürich,2019,Ueberbaut,14.26708,26.059974685896
1,TR,,261,11,Zürich,2019,Technischer Rest,13007.200396,482.355746388351
1,B,,261,1,Zürich,2019,Ueberbaut,9183.63627224,706.573072268706
70,TR,,96,11,Regensdorf,2019,Technischer Rest,7961.669748,423.944102051079
70,TR,,96,11,Regensdorf,2019,Technischer Rest,48916.50180395,1603.41598614126
1,TR,,261,11,Zürich,2019,Technischer Rest,45.06443833,46.0293731074116
1,TR,,261,11,Zürich,2019,Technischer Rest,7442.95506,397.415722799302
1,TR,,261,11,Zürich,2019,Technischer Rest,9222.681316,552.605029829007
1,S,,261,2,Zürich,2019,Sofort baureif,6836.87339206,458.345851051087
1,B,,261,1,Zürich,2019,Ueberbaut,12868.94435239,1515.08582970249
1,TR,,261,11,Zürich,2019,Technischer Rest,167116.27801292,3873.14991746329
1,TR,,261,11,Zürich,2019,Technischer Rest,28651.532625,1808.75767442404
1,TR,,261,11,Zürich,2019,Technischer Rest,1893.922693735,203.385999756157
1,TR,,261,11,Zürich,2019,Technischer Rest,36.1831136,27.9583969299243
1,B,,261,1,Zürich,2019,Ueberbaut,40984.48617632,1008.25964584938
1,TR,,261,11,Zürich,2019,Technischer Rest,33205.6891006,1094.73798800556
1,S,,261,2,Zürich,2019,Sofort baureif,1692.21367563,185.850381219932
1,TR,,261,11,Zürich,2019,Technischer Rest,7718.76031525,763.09814951474
1,S,,261,2,Zürich,2019,Sofort baureif,428.17959022,84.6013864460818
1,TR,,261,11,Zürich,2019,Technischer Rest,21536.4831195,1889.77220678682
1,B,,261,1,Zürich,2019,Ueberbaut,17311.165737085,818.432673707654
1,B,,261,1,Zürich,2019,Ueberbaut,100100.497686205,1685.55284563947
1,B,,261,1,Zürich,2019,Ueberbaut,8184.4342725,413.917235894449
1,TR,,261,11,Zürich,2019,Technischer Rest,42610.19013555,1279.44138747616
1,TR,,261,11,Zürich,2019,Technischer Rest,20760.39576745,840.190445800175
1,B,,261,1,Zürich,2019,Ueberbaut,15135.394317155,707.412582695922
1,S,,261,2,Zürich,2019,Sofort baureif,767.87205935,121.404829134937
1,B,,261,1,Zürich,2019,Ueberbaut,21286.64049395,1072.4422217708
1,B,,261,1,Zürich,2019,Ueberbaut,14250.207103345,631.281108634304
1,B,,261,1,Zürich,2019,Ueberbaut,4345.197230055,270.389376611955
1,B,,261,1,Zürich,2019,Ueberbaut,6968.570151755,369.639477687364
1,B,,261,1,Zürich,2019,Ueberbaut,1793.8365228,204.840415523088
1,B,,261,1,Zürich,2019,Ueberbaut,1086.6941069,172.923299265722
1,B,,261,1,Zürich,2019,Ueberbaut,3507.8801482,234.913509196109
1,B,,261,1,Zürich,2019,Ueberbaut,1998.3805615,208.333828880011
1,B,,261,1,Zürich,2019,Ueberbaut,3844.755424745,253.997715693357
1,B,,261,1,Zürich,2019,Ueberbaut,4248.05812961,343.952268636967
1,B,,261,1,Zürich,2019,Ueberbaut,7065.61575852,349.739313329548
1,B,,261,1,Zürich,2019,Ueberbaut,7927.514677535,354.919103695925
