,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,AvgTemperature
0,2011,01,6,00,2.1950000000000003
1,2011,01,6,01,2.285
2,2011,01,6,02,2.28
3,2011,01,6,03,2.51
4,2011,01,6,04,2.675
5,2011,01,6,05,2.775
6,2011,01,6,06,2.19
7,2011,01,6,07,2.165
8,2011,01,6,08,2.1550000000000002
9,2011,01,6,09,2.24
10,2011,01,6,10,2.705
11,2011,01,6,11,3.2350000000000003
12,2011,01,6,12,3.14
13,2011,01,6,13,3.1550000000000002
14,2011,01,6,14,2.98
15,2011,01,6,15,2.765
16,2011,01,6,16,2.51
17,2011,01,6,17,2.295
18,2011,01,6,18,1.7399999999999998
19,2011,01,6,19,1.4249999999999998
20,2011,01,6,20,1.19
21,2011,01,6,21,1.085
22,2011,01,6,22,0.825
23,2011,01,6,23,0.8200000000000001
24,2011,01,7,00,0.92
25,2011,01,7,01,0.965
26,2011,01,7,02,1.0
27,2011,01,7,03,1.155
28,2011,01,7,04,0.965
29,2011,01,7,05,1.03
30,2011,01,7,06,1.085
31,2011,01,7,07,1.0
32,2011,01,7,08,0.76
33,2011,01,7,09,0.79
34,2011,01,7,10,0.91
35,2011,01,7,11,1.15
36,2011,01,7,12,1.385
37,2011,01,7,13,1.51
38,2011,01,7,14,1.675
39,2011,01,7,15,1.62
40,2011,01,7,16,1.54
41,2011,01,7,17,1.44
42,2011,01,7,18,1.275
43,2011,01,7,19,0.9099999999999999
44,2011,01,7,20,0.33999999999999997
45,2011,01,7,21,-0.16
46,2011,01,7,22,-0.555
47,2011,01,7,23,-0.915
48,2011,01,1,00,-1.24
49,2011,01,1,01,-1.63
50,2011,01,1,02,-1.85
51,2011,01,1,03,-1.955
52,2011,01,1,04,-2.95
53,2011,01,1,05,-3.2
54,2011,01,1,06,-3.185
55,2011,01,1,07,-3.24
56,2011,01,1,08,-3.655
57,2011,01,1,09,-3.625
58,2011,01,1,10,-2.9450000000000003
59,2011,01,1,11,-2.185
60,2011,01,1,12,-1.615
61,2011,01,1,13,-1.0550000000000002
62,2011,01,1,14,-0.555
63,2011,01,1,15,-0.42000000000000004
64,2011,01,1,16,-0.645
65,2011,01,1,17,-1.065
66,2011,01,1,18,-1.4
67,2011,01,1,19,-1.6099999999999999
68,2011,01,1,20,-2.175
69,2011,01,1,21,-2.645
70,2011,01,1,22,-2.8099999999999996
71,2011,01,1,23,-3.01
72,2011,01,2,00,-2.9699999999999998
73,2011,01,2,01,-3.08
74,2011,01,2,02,-3.33
75,2011,01,2,03,-3.3200000000000003
76,2011,01,2,04,-3.16
77,2011,01,2,05,-2.84
78,2011,01,2,06,-2.81
79,2011,01,2,07,-3.165
80,2011,01,2,08,-3.13
81,2011,01,2,09,-3.2
82,2011,01,2,10,-2.745
83,2011,01,2,11,-2.395
84,2011,01,2,12,-1.635
85,2011,01,2,13,-1.27
86,2011,01,2,14,-1.15
87,2011,01,2,15,-0.905
88,2011,01,2,16,-1.005
89,2011,01,2,17,-1.0
90,2011,01,2,18,-1.065
91,2011,01,2,19,-1.2550000000000001
92,2011,01,2,20,-1.165
93,2011,01,2,21,-1.2850000000000001
94,2011,01,2,22,-1.465
95,2011,01,2,23,-1.705
96,2011,01,3,00,-1.815
97,2011,01,3,01,-1.975
98,2011,01,3,02,-2.0300000000000002
99,2011,01,3,03,-1.75
100,2011,01,3,04,-1.54
101,2011,01,3,05,-1.405
102,2011,01,3,06,-1.105
103,2011,01,3,07,-0.9750000000000001
104,2011,01,3,08,-0.9
105,2011,01,3,09,-0.65
106,2011,01,3,10,-0.035
107,2011,01,3,11,0.78
108,2011,01,3,12,1.455
109,2011,01,3,13,2.4850000000000003
110,2011,01,3,14,3.17
111,2011,01,3,15,3.1399999999999997
112,2011,01,3,16,2.66
113,2011,01,3,17,2.065
114,2011,01,3,18,1.625
115,2011,01,3,19,1.385
116,2011,01,3,20,1.155
117,2011,01,3,21,1.01
118,2011,01,3,22,1.035
119,2011,01,3,23,0.81
120,2011,01,4,00,0.755
121,2011,01,4,01,0.8200000000000001
122,2011,01,4,02,0.765
123,2011,01,4,03,1.035
124,2011,01,4,04,1.7
125,2011,01,4,05,4.115
126,2011,01,4,06,3.9250000000000003
127,2011,01,4,07,4.08
128,2011,01,4,08,4.4350000000000005
129,2011,01,4,09,4.85
130,2011,01,4,10,7.0
131,2011,01,4,11,7.825
132,2011,01,4,12,7.96
133,2011,01,4,13,7.645
134,2011,01,4,14,8.91
135,2011,01,4,15,9.435
136,2011,01,4,16,8.725
137,2011,01,4,17,7.395
138,2011,01,4,18,8.225
139,2011,01,4,19,8.14
140,2011,01,4,20,6.529999999999999
141,2011,01,4,21,6.43
142,2011,01,4,22,6.665
143,2011,01,4,23,7.52
144,2011,01,5,00,8.325
145,2011,01,5,01,7.785
146,2011,01,5,02,8.6
147,2011,01,5,03,8.7
148,2011,01,5,04,8.0
149,2011,01,5,05,8.4
150,2011,01,5,06,7.09
151,2011,01,5,07,6.605
152,2011,01,5,08,6.795
153,2011,01,5,09,7.13
154,2011,01,5,10,7.605
155,2011,01,5,11,8.46
156,2011,01,5,12,9.21
157,2011,01,5,13,10.175
158,2011,01,5,14,11.055
159,2011,01,5,15,11.405000000000001
160,2011,01,5,16,11.09
161,2011,01,5,17,10.235
162,2011,01,5,18,9.61
163,2011,01,5,19,9.004999999999999
164,2011,01,5,20,8.33
165,2011,01,5,21,8.05
166,2011,01,5,22,8.035
167,2011,01,5,23,8.04
168,2011,01,6,00,7.965
169,2011,01,6,01,7.64
170,2011,01,6,02,7.5600000000000005
171,2011,01,6,03,7.38
172,2011,01,6,04,7.199999999999999
173,2011,01,6,05,7.345
174,2011,01,6,06,7.545
175,2011,01,6,07,8.24
176,2011,01,6,08,7.945
177,2011,01,6,09,7.285
178,2011,01,6,10,7.675
179,2011,01,6,11,8.81
180,2011,01,6,12,10.735
181,2011,01,6,13,12.43
182,2011,01,6,14,12.370000000000001
183,2011,01,6,15,11.735
184,2011,01,6,16,11.565000000000001
185,2011,01,6,17,11.17
186,2011,01,6,18,9.775
187,2011,01,6,19,9.215
188,2011,01,6,20,8.530000000000001
189,2011,01,6,21,7.869999999999999
190,2011,01,6,22,7.64
191,2011,01,6,23,7.34
192,2011,01,7,00,6.95
193,2011,01,7,01,6.49
194,2011,01,7,02,6.135
195,2011,01,7,03,6.335
196,2011,01,7,04,6.99
197,2011,01,7,05,6.29
198,2011,01,7,06,6.29
199,2011,01,7,07,6.234999999999999
200,2011,01,7,08,6.54
201,2011,01,7,09,6.59
202,2011,01,7,10,7.415
203,2011,01,7,11,9.18
204,2011,01,7,12,10.75
205,2011,01,7,13,10.46
206,2011,01,7,14,9.735
207,2011,01,7,15,9.28
208,2011,01,7,16,9.15
209,2011,01,7,17,9.05
210,2011,01,7,18,8.780000000000001
211,2011,01,7,19,8.530000000000001
212,2011,01,7,20,8.115
213,2011,01,7,21,7.9
214,2011,01,7,22,7.555
215,2011,01,7,23,7.1850000000000005
216,2011,01,1,00,6.66
217,2011,01,1,01,6.105
218,2011,01,1,02,5.865
219,2011,01,1,03,5.8100000000000005
220,2011,01,1,04,5.71
221,2011,01,1,05,5.535
222,2011,01,1,06,5.02
223,2011,01,1,07,4.515
224,2011,01,1,08,4.355
225,2011,01,1,09,4.155
226,2011,01,1,10,4.15
227,2011,01,1,11,4.109999999999999
228,2011,01,1,12,4.41
229,2011,01,1,13,4.574999999999999
230,2011,01,1,14,4.795
231,2011,01,1,15,4.76
232,2011,01,1,16,4.54
233,2011,01,1,17,4.4
234,2011,01,1,18,4.385
235,2011,01,1,19,4.225
236,2011,01,1,20,3.99
237,2011,01,1,21,3.8049999999999997
238,2011,01,1,22,3.825
239,2011,01,1,23,3.755
240,2011,01,2,00,3.885
241,2011,01,2,01,4.1
242,2011,01,2,02,4.18
243,2011,01,2,03,4.390000000000001
244,2011,01,2,04,4.5649999999999995
245,2011,01,2,05,4.795
246,2011,01,2,06,4.984999999999999
247,2011,01,2,07,4.98
248,2011,01,2,08,4.7
249,2011,01,2,09,4.545
250,2011,01,2,10,4.83
251,2011,01,2,11,5.46
252,2011,01,2,12,5.83
253,2011,01,2,13,6.15
254,2011,01,2,14,5.855
255,2011,01,2,15,5.745
256,2011,01,2,16,5.37
257,2011,01,2,17,4.855
258,2011,01,2,18,4.48
