Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumCars
2019-02-13 13:00:00,2677988,1250275,525.0
2019-05-26 18:00:00,2677997,1250294,329.0
2019-03-24 14:00:00,2677999,1250275,428.0
2017-10-27 13:00:00,2677999,1250278,556.0
2018-03-31 01:00:00,2678012,1250261,88.0
2018-08-08 09:00:00,2678023,1250267,395.0
2015-12-18 00:00:00,2678028,1249733,95.0
2017-03-11 14:00:00,2678028,1249741,726.0
2017-06-07 15:00:00,2678028,1249742,552.0
2016-10-03 15:00:00,2678033,1249737,623.0
2015-09-15 08:00:00,2678034,1249736,827.0
2016-11-10 06:00:00,2678049,1249739,313.0
2012-11-27 08:00:00,2678060,1249732,388.0
2019-10-03 07:00:00,2678062,1249721,322.0
2019-12-07 04:00:00,2678062,1249730,51.0
2012-07-20 20:00:00,2678063,1249732,444.0
2013-07-06 00:00:00,2678064,1249725,273.0
2013-10-14 18:00:00,2678066,1249728,684.0
2016-10-15 14:00:00,2678069,1249754,554.0
2012-01-27 13:00:00,2678071,1249727,647.0
2016-03-08 15:00:00,2678074,1249721,587.0
2016-03-03 18:00:00,2678077,1249719,642.0
2016-11-27 16:00:00,2678082,1249827,517.0
2013-08-22 19:00:00,2678083,1250015,213.0
2014-08-11 08:00:00,2678084,1249702,354.0
2013-12-31 12:00:00,2678087,1249808,593.0
2012-08-25 23:00:00,2678093,1249702,300.0
2017-04-01 03:00:00,2678096,1249704,131.0
2017-04-23 19:00:00,2678096,1250236,228.0
2016-07-07 19:00:00,2678097,1249889,487.0
2016-11-29 09:00:00,2678097,1250230,95.0
2019-12-04 08:00:00,2678099,1249849,319.0
2019-11-07 22:00:00,2678103,1249836,227.0
2017-06-08 12:00:00,2678126,1249698,431.0
2013-05-15 18:00:00,2678129,1249680,661.0
2019-06-19 13:00:00,2678129,1250231,427.0
2016-07-03 14:00:00,2678141,1250390,215.0
2016-09-18 21:00:00,2678142,1250389,185.0
2017-02-28 13:00:00,2678143,1250415,402.0
2019-09-03 19:00:00,2678146,1249676,332.0
