Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2020-02-17 10:00:00,2679040,1249331,,78.5
2020-11-11 17:00:00,2679041,1249515,8.0,
2020-12-23 10:00:00,2679042,1249330,4.5,
2011-01-02 21:00:00,2679047,1250858,0.0,0.0
2011-12-16 19:00:00,2679060,1250866,0.0,1.0
2011-05-03 13:00:00,2679067,1250685,0.5,16.5
2011-01-20 14:00:00,2679069,1250808,0.0,5.0
2020-03-14 20:00:00,2679086,1249435,3.0,
2020-03-03 16:00:00,2679087,1250785,58.0,
2020-05-16 18:00:00,2679100,1249469,8.0,
2011-04-12 11:00:00,2679147,1250721,0.5,16.0
2011-03-24 18:00:00,2679150,1250827,4.0,24.5
2020-10-29 21:00:00,2679174,1249471,2.0,
2020-06-24 15:00:00,2679174,1250605,,56.5
2011-02-11 10:00:00,2679190,1249457,10.0,
2020-09-07 19:00:00,2679193,1249270,,358.5
2011-05-07 22:00:00,2679209,1249455,11.5,
2011-01-10 17:00:00,2679209,1249592,12.0,
2020-04-09 07:00:00,2679210,1249601,,46.0
2020-09-07 18:00:00,2679214,1250682,,42.0
2020-09-04 17:00:00,2679241,1249618,,109.5
2020-02-24 14:00:00,2679250,1249460,,103.5
2011-04-21 20:00:00,2679268,1249427,18.0,
2020-09-30 13:00:00,2679274,1249229,,297.5
2020-02-20 06:00:00,2679275,1249237,,12.5
2011-03-31 13:00:00,2679293,1249458,21.0,
2020-11-10 17:00:00,2679314,1249455,,380.5
2020-02-27 12:00:00,2679320,1249457,,81.0
2020-10-09 08:00:00,2679337,1249328,,238.0
2020-07-06 21:00:00,2679341,1249193,12.0,
2020-07-08 17:00:00,2679346,1249191,77.5,
2020-01-09 10:00:00,2679351,1249389,,107.5
2020-01-30 15:00:00,2679358,1249433,16.5,
2020-05-20 13:00:00,2679375,1249163,37.5,
2020-01-29 16:00:00,2679485,1249244,9.5,
2020-11-02 12:00:00,2679614,1248874,13.5,
2020-02-20 14:00:00,2679648,1248918,47.0,
2020-03-27 12:00:00,2679685,1248815,49.0,
2020-12-29 11:00:00,2679696,1248998,12.0,
2020-10-24 07:00:00,2679867,1248932,2.5,
2020-02-15 12:00:00,2679887,1250395,16.5,
2020-02-28 10:00:00,2679932,1249048,24.0,
2020-11-20 11:00:00,2679933,1249043,7.0,
2020-05-02 12:00:00,2679933,1250681,60.0,
2020-12-09 18:00:00,2679952,1250671,,18.5
2020-10-24 18:00:00,2679954,1248953,14.5,
2011-09-28 07:00:00,2680006,1250681,17.5,10.5
2020-09-08 19:00:00,2680031,1250681,,60.0
2020-11-12 07:00:00,2680031,1250681,,30.5
2020-08-10 07:00:00,2680055,1250615,,33.5
2011-11-23 15:00:00,2680057,1250682,3.0,14.5
2011-12-14 09:00:00,2680059,1250644,0.5,6.0
2011-10-20 13:00:00,2680064,1250695,3.0,19.0
2020-11-20 08:00:00,2680065,1250670,,16.5
2011-10-19 11:00:00,2680065,1250710,3.0,13.5
2020-02-11 07:00:00,2680065,1250710,31.0,
2011-12-19 17:00:00,2680065,1250711,2.5,2.5
2020-04-23 23:00:00,2680067,1250675,11.0,
2020-07-18 18:00:00,2680070,1250716,,48.5
2020-09-12 16:00:00,2680070,1250717,,32.0
2020-06-12 23:00:00,2680073,1250683,54.5,
2020-10-03 10:00:00,2680080,1250672,,5.5
2011-11-14 19:00:00,2680083,1250659,2.5,2.0
2020-06-06 14:00:00,2680086,1250579,67.5,
2020-05-02 20:00:00,2680091,1250670,21.0,
2020-02-17 11:00:00,2680096,1250764,34.0,
2020-08-06 10:00:00,2680097,1250651,,27.0
2020-09-01 16:00:00,2680122,1250540,,27.0
2011-10-09 00:00:00,2680135,1250651,0.0,0.0
2020-08-03 14:00:00,2680144,1250660,,9.0
2020-02-28 10:00:00,2680166,1250637,31.0,
2011-12-21 23:00:00,2680216,1250397,0.5,
2020-06-24 14:00:00,2680342,1249764,29.0,
2011-11-29 18:00:00,2680422,1252660,41.5,
2020-10-06 14:00:00,2680452,1252643,,11.5
2011-07-20 17:00:00,2680455,1252646,19.0,
2020-09-03 10:00:00,2680487,1249789,67.0,
2020-05-20 00:00:00,2680488,1250062,3.5,
2020-12-17 15:00:00,2680493,1252627,,26.0
2020-01-29 18:00:00,2680497,1252625,7.0,11.0
2020-11-04 17:00:00,2680499,1250050,105.0,
2011-01-05 19:00:00,2680532,1250024,13.0,
2011-02-06 15:00:00,2680553,1252586,53.0,
2020-01-03 13:00:00,2680556,1252485,12.0,32.5
2020-01-04 14:00:00,2680560,1249775,,187.5
2020-12-24 07:00:00,2680572,1252553,,3.0
2011-02-12 11:00:00,2680575,1252582,28.0,
2020-10-16 07:00:00,2680578,1252587,,8.0
2020-12-29 14:00:00,2680586,1252619,,32.0
2020-05-19 19:00:00,2680587,1252619,9.5,
2011-08-16 21:00:00,2680599,1252579,10.0,
2011-12-16 16:00:00,2680600,1252676,4.5,
2011-11-30 11:00:00,2680600,1252677,10.0,
2020-12-19 16:00:00,2680613,1252577,,26.5
2011-06-14 17:00:00,2680642,1252558,31.0,
2020-11-11 12:00:00,2680651,1252555,,12.0
2020-07-07 07:00:00,2680654,1252562,20.0,
2020-10-26 14:00:00,2680664,1252549,,4.0
2011-07-25 22:00:00,2680664,1252699,7.0,
2020-09-08 21:00:00,2680673,1252654,16.5,
2020-04-23 19:00:00,2680680,1252640,4.0,
2020-10-07 10:00:00,2680682,1252586,,18.0
2011-07-06 18:00:00,2680682,1252590,35.5,
2011-08-20 16:00:00,2680683,1252527,18.5,
2020-10-31 11:00:00,2680686,1252592,,22.5
2020-03-04 15:00:00,2680690,1252592,3.5,
2020-08-11 17:00:00,2680692,1252639,15.5,
2020-04-24 15:00:00,2680693,1252601,15.0,
2011-07-18 16:00:00,2680696,1252514,15.0,
2011-06-18 11:00:00,2680697,1252601,36.0,
2011-01-07 14:00:00,2680708,1252618,7.5,
2020-02-02 16:00:00,2680710,1252629,5.5,41.5
2020-05-14 16:00:00,2680713,1252632,4.0,
2020-10-09 12:00:00,2680714,1252512,,17.5
2020-12-04 13:00:00,2680719,1252485,,16.5
2020-11-17 16:00:00,2680738,1252489,,37.0
2020-07-23 18:00:00,2681177,1248590,355.5,
2020-07-09 18:00:00,2681195,1248566,391.5,
2020-04-12 15:00:00,2681198,1248562,107.0,
2020-12-19 06:00:00,2681199,1248563,3.0,
2020-08-22 09:00:00,2681206,1247746,8.0,
2020-03-24 09:00:00,2681208,1248549,41.5,
2011-05-02 09:00:00,2681219,1247750,32.0,
2011-07-11 06:00:00,2681224,1248490,18.5,
2011-06-01 19:00:00,2681229,1247795,32.0,
2011-11-08 10:00:00,2681235,1247612,16.5,
2020-06-27 01:00:00,2681242,1248523,,1.5
2011-07-14 15:00:00,2681268,1248577,5.5,
2020-04-04 10:00:00,2681278,1248585,,71.0
2020-03-03 19:00:00,2681297,1248615,,106.0
2020-05-13 06:00:00,2681299,1248571,,4.5
2020-08-11 18:00:00,2681301,1248620,,32.0
2011-11-12 15:00:00,2681303,1248481,32.0,
2011-04-05 16:00:00,2681307,1247711,35.5,
2020-07-02 06:00:00,2681311,1248579,,22.0
2011-07-15 12:00:00,2681312,1247588,30.5,
2020-06-30 18:00:00,2681315,1248639,,57.0
2020-05-26 16:00:00,2681316,1248545,,126.0
2011-11-09 17:00:00,2681320,1247789,43.0,
2011-05-21 06:00:00,2681324,1248610,2.5,
2020-05-05 19:00:00,2681325,1248624,,17.0
2020-04-16 14:00:00,2681327,1248632,,43.0
2011-04-12 16:00:00,2681328,1248646,10.5,
2011-04-12 17:00:00,2681334,1248657,18.5,
2020-07-28 23:00:00,2681336,1248450,,4.5
2011-01-16 19:00:00,2681337,1248662,3.5,
2011-02-18 14:00:00,2681349,1247891,14.0,
2011-08-02 16:00:00,2681350,1247550,31.0,
2020-06-30 20:00:00,2681356,1247917,22.5,
2020-07-24 09:00:00,2681356,1253118,6.5,
2011-02-15 12:00:00,2681360,1247786,15.0,
2011-04-13 18:00:00,2681379,1247727,49.5,
2020-01-11 00:00:00,2681379,1248472,,25.0
2020-12-31 03:00:00,2681381,1247735,0.5,
2020-07-30 18:00:00,2681385,1247621,48.0,
2011-05-27 22:00:00,2681391,1247879,19.5,
2011-07-01 20:00:00,2681393,1247589,42.0,
2020-06-11 12:00:00,2681394,1247730,30.5,
2020-06-01 15:00:00,2681396,1247589,19.0,
2011-06-10 14:00:00,2681398,1247746,30.0,
2020-12-18 10:00:00,2681404,1247768,13.0,
2020-10-16 21:00:00,2681410,1247813,5.0,
2020-12-09 14:00:00,2681417,1247766,4.5,
2020-11-27 20:00:00,2681417,1248772,56.0,
2020-12-09 15:00:00,2681418,1248774,25.0,
2020-08-24 18:00:00,2681425,1247718,53.5,
2020-07-19 10:00:00,2681425,1247726,12.0,
2011-01-11 16:00:00,2681426,1247760,9.5,
2011-05-31 09:00:00,2681434,1247640,26.0,
2020-11-03 14:00:00,2681444,1247628,15.0,
2020-02-14 14:00:00,2681447,1247573,19.5,
2011-12-22 14:00:00,2681449,1247903,6.5,
2020-06-30 07:00:00,2681458,1247572,56.0,
2011-01-12 18:00:00,2681469,1247735,24.0,
2011-04-05 20:00:00,2681474,1247734,38.0,
2020-06-04 18:00:00,2681482,1247888,15.0,
2011-05-20 08:00:00,2681484,1247741,65.0,
2020-02-29 15:00:00,2681498,1247606,30.0,
2020-10-25 18:00:00,2681510,1247590,0.5,
2011-03-31 17:00:00,2681513,1247673,32.0,
2011-09-21 21:00:00,2681516,1247675,25.5,
2020-02-07 08:00:00,2681525,1247659,42.0,
2020-06-26 17:00:00,2681537,1247854,47.5,
2020-03-25 06:00:00,2681543,1247745,3.5,
2020-05-28 14:00:00,2681561,1247716,39.5,
2011-10-30 11:00:00,2681562,1247713,8.0,
2020-01-30 18:00:00,2681564,1247701,36.5,
2011-01-13 09:00:00,2681566,1247706,9.5,
2011-10-30 15:00:00,2681569,1247672,29.5,
2020-03-09 06:00:00,2681571,1247673,7.0,
2020-02-05 23:00:00,2681574,1247699,7.0,
2011-05-27 22:00:00,2681575,1247679,19.5,
2020-08-07 09:00:00,2681575,1247693,23.0,
2011-08-22 15:00:00,2681580,1247751,26.5,
2011-05-02 10:00:00,2681758,1252029,12.5,
2011-02-04 17:00:00,2681845,1251831,11.0,
2011-09-28 17:00:00,2681886,1251847,3.5,23.5
2011-08-25 15:00:00,2681894,1251847,1.5,12.5
2011-08-26 11:00:00,2681899,1251839,1.0,9.0
2011-07-28 10:00:00,2681921,1251826,1.5,8.0
2020-01-18 12:00:00,2681951,1251837,,213.0
2020-09-13 17:00:00,2681955,1251993,64.0,
2011-04-11 11:00:00,2681973,1252020,5.5,25.0
2020-04-01 08:00:00,2681990,1249130,,19.5
2020-11-02 19:00:00,2681990,1249131,71.0,
2011-12-07 20:00:00,2682003,1249123,0.0,2.0
2011-06-27 13:00:00,2682019,1249127,2.5,15.0
2011-04-13 17:00:00,2682033,1249161,2.0,15.5
2011-06-30 15:00:00,2682048,1249079,0.5,9.0
2020-11-13 15:00:00,2682049,1248973,63.5,
2011-10-25 18:00:00,2682052,1252037,1.0,12.5
2020-05-15 19:00:00,2682060,1248998,,45.5
2011-10-25 14:00:00,2682083,1249066,2.5,19.5
2020-01-12 05:00:00,2682098,1248326,,43.5
2020-10-27 22:00:00,2682107,1248280,,6.5
2011-07-26 03:00:00,2682127,1248360,0.0,
2020-12-16 18:00:00,2682128,1249162,92.0,
2020-09-10 21:00:00,2682153,1248209,,5.0
2011-06-23 12:00:00,2682164,1248943,0.0,37.5
2011-12-18 20:00:00,2682169,1249310,0.0,1.5
2020-04-24 17:00:00,2682172,1249138,,35.5
2020-06-23 21:00:00,2682174,1248229,,39.5
2020-09-24 14:00:00,2682178,1249140,16.0,
2011-04-06 17:00:00,2682183,1249074,7.0,13.5
2020-07-12 11:00:00,2682183,1249124,3.5,
2020-12-09 10:00:00,2682188,1249124,23.5,
2011-03-18 22:00:00,2682190,1247079,6.5,
2011-03-17 19:00:00,2682193,1249285,0.0,2.5
2020-12-22 12:00:00,2682196,1249290,46.0,
2020-01-16 12:00:00,2682212,1249279,,62.0
2011-10-08 14:00:00,2682213,1247066,11.0,
2011-09-18 20:00:00,2682213,1247073,5.5,
2020-06-04 12:00:00,2682213,1249278,3.0,
2020-02-21 01:00:00,2682214,1248245,,0.0
