Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2011-06-07 19:00:00,2678793,1250995,1.5,32.0
2011-05-04 15:00:00,2678794,1250995,3.5,9.0
2020-12-20 08:00:00,2678798,1249427,1.0,
2020-10-11 12:00:00,2678858,1249398,5.0,
2020-10-05 11:00:00,2678873,1249192,9.5,
2020-10-06 17:00:00,2678881,1249202,6.5,
2020-11-07 17:00:00,2678890,1249713,6.0,
2020-07-13 08:00:00,2678896,1250964,,51.0
2020-11-25 08:00:00,2678902,1249395,11.5,
2020-12-16 07:00:00,2678903,1250952,,37.0
2020-02-26 17:00:00,2678908,1249164,,206.0
2011-09-07 15:00:00,2678910,1250078,6.0,7.5
2020-02-08 15:00:00,2678915,1249159,,141.5
2020-09-24 22:00:00,2678971,1249399,3.5,
2020-06-16 12:00:00,2678975,1249536,7.5,
2020-02-26 21:00:00,2678989,1249119,,60.0
2020-09-13 14:00:00,2679000,1249657,11.0,
2020-04-22 18:00:00,2679012,1249110,,1.0
2020-10-21 09:00:00,2679022,1249093,7.0,
2020-11-07 19:00:00,2679027,1249103,4.0,
2020-03-14 13:00:00,2679034,1249098,3.5,
2020-02-17 10:00:00,2679040,1249331,,78.5
2020-11-11 17:00:00,2679041,1249515,8.0,
2020-12-23 10:00:00,2679042,1249330,4.5,
2011-01-02 21:00:00,2679047,1250858,0.0,0.0
2011-12-16 19:00:00,2679060,1250866,0.0,1.0
2020-07-01 20:00:00,2679065,1249099,8.5,
2011-05-03 13:00:00,2679067,1250685,0.5,16.5
2011-01-20 14:00:00,2679069,1250808,0.0,5.0
2020-05-25 13:00:00,2679082,1249121,7.0,
2020-03-14 20:00:00,2679086,1249435,3.0,
2020-03-03 16:00:00,2679087,1250785,58.0,
2020-07-02 10:00:00,2679099,1249074,,186.5
2020-05-16 18:00:00,2679100,1249469,8.0,
2020-08-03 17:00:00,2679128,1249038,,221.5
2020-01-14 11:00:00,2679131,1249097,,55.5
2020-12-07 06:00:00,2679142,1249063,,21.0
2020-06-03 19:00:00,2679142,1249134,,313.0
2011-04-12 11:00:00,2679147,1250721,0.5,16.0
2011-03-24 18:00:00,2679150,1250827,4.0,24.5
2020-08-22 15:00:00,2679162,1249151,,292.0
2020-08-29 10:00:00,2679162,1249151,,164.0
2020-10-10 12:00:00,2679162,1249151,,178.5
2020-10-07 13:00:00,2679169,1249139,,212.0
2020-05-14 09:00:00,2679171,1249150,,92.5
2020-10-29 21:00:00,2679174,1249471,2.0,
2020-06-24 15:00:00,2679174,1250605,,56.5
2020-11-25 06:00:00,2679178,1249045,,46.0
2020-01-04 09:00:00,2679179,1249045,,17.5
2020-11-10 16:00:00,2679189,1249048,,287.0
2011-02-11 10:00:00,2679190,1249457,10.0,
2020-09-07 19:00:00,2679193,1249270,,358.5
2020-01-19 22:00:00,2679194,1249037,,3.0
2020-12-20 18:00:00,2679195,1249035,,122.5
2011-05-07 22:00:00,2679209,1249455,11.5,
2011-01-10 17:00:00,2679209,1249592,12.0,
2020-04-09 07:00:00,2679210,1249601,,46.0
2020-09-07 18:00:00,2679214,1250682,,42.0
2020-07-07 19:00:00,2679218,1249835,10.0,
2020-09-04 17:00:00,2679241,1249618,,109.5
2020-04-20 15:00:00,2679243,1248989,,2.5
2020-08-18 20:00:00,2679244,1249035,,297.0
2020-02-24 14:00:00,2679250,1249460,,103.5
2020-02-07 12:00:00,2679254,1249014,,104.0
2011-07-30 15:00:00,2679254,1250653,6.0,17.0
2020-10-31 12:00:00,2679257,1249047,,259.0
2020-06-04 16:00:00,2679259,1249051,,167.0
2020-04-22 11:00:00,2679264,1249794,,103.5
2011-04-21 20:00:00,2679268,1249427,18.0,
2020-09-30 13:00:00,2679274,1249229,,297.5
2020-07-06 23:00:00,2679275,1249114,,95.0
2020-02-20 06:00:00,2679275,1249237,,12.5
2011-05-25 13:00:00,2679283,1249666,23.5,
2020-02-26 12:00:00,2679285,1249811,,221.5
2011-09-05 07:00:00,2679292,1250636,0.0,5.5
2011-03-31 13:00:00,2679293,1249458,21.0,
2020-08-15 11:00:00,2679298,1249112,,244.5
2011-02-09 06:00:00,2679300,1249816,9.5,
2020-11-10 17:00:00,2679314,1249455,,380.5
2020-02-27 12:00:00,2679320,1249457,,81.0
2020-09-30 19:00:00,2679321,1248953,,425.0
2020-03-13 16:00:00,2679325,1249808,,172.0
2011-07-31 18:00:00,2679326,1250616,10.5,18.5
2020-03-10 14:00:00,2679327,1249809,,71.5
2020-07-13 18:00:00,2679329,1250478,,45.5
2020-10-09 08:00:00,2679337,1249328,,238.0
2020-07-06 21:00:00,2679341,1249193,12.0,
2020-07-08 17:00:00,2679346,1249191,77.5,
2020-09-13 07:00:00,2679351,1249013,15.0,
2020-01-09 10:00:00,2679351,1249389,,107.5
2020-01-30 15:00:00,2679358,1249433,16.5,
2020-10-03 17:00:00,2679359,1248996,59.0,
2020-08-27 10:00:00,2679360,1249646,,56.5
2011-05-27 19:00:00,2679360,1250465,0.0,5.5
2020-09-07 07:00:00,2679361,1249000,160.0,
2011-09-22 20:00:00,2679364,1250783,0.5,3.5
2011-05-06 21:00:00,2679370,1249590,23.5,
2020-05-20 13:00:00,2679375,1249163,37.5,
2011-07-01 19:00:00,2679383,1249781,33.5,
2020-10-27 10:00:00,2679417,1248988,12.5,
2020-11-14 17:00:00,2679420,1248986,20.5,
2020-11-20 21:00:00,2679421,1248996,1.5,
2020-08-21 09:00:00,2679421,1250722,93.0,
2020-02-08 21:00:00,2679432,1248988,5.0,
2020-05-11 16:00:00,2679457,1249105,19.5,
2020-12-04 16:00:00,2679458,1249140,43.0,
