Date,AccidentType,AccidentSeverityCategory,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N
2011-01-01 00:00:00,0,4,0,0,0,3,2684605,1245194
2011-01-01 01:00:00,0,3,0,1,0,3,2682382,1246980
2011-01-01 02:00:00,0,4,0,0,0,9,2682791,1247749
2011-01-01 02:00:00,5,3,0,0,0,3,2681199,1247102
2011-01-01 03:00:00,0,4,0,0,0,3,2682479,1250690
2011-01-01 04:00:00,3,4,0,0,0,3,2683365,1253681
2011-01-01 04:00:00,2,4,0,0,0,3,2681841,1249487
2011-01-01 05:00:00,1,4,0,0,0,3,2683299,1247929
2011-01-01 13:00:00,7,4,0,0,0,3,2682866,1247664
2011-01-01 15:00:00,8,2,1,1,0,3,2683238,1246773
2011-01-01 16:00:00,2,4,0,0,0,2,2681609,1249037
2011-01-01 18:00:00,7,4,0,0,0,3,2683658,1249909
2011-01-01 20:00:00,3,3,0,0,0,2,2684424,1251030
2011-01-02 13:00:00,2,3,0,0,0,3,2683621,1246913
2011-01-02 14:00:00,2,3,0,0,0,3,2683641,1247658
2011-01-02 16:00:00,2,4,0,0,0,0,2682119,1243111
2011-01-02 21:00:00,4,4,0,0,0,3,2679047,1250858
2011-01-03 04:00:00,0,4,0,0,0,2,2679755,1246862
2011-01-03 07:00:00,4,2,1,0,0,2,2679024,1249093
2011-01-03 08:00:00,3,3,0,1,0,3,2681179,1247560
2011-01-03 08:00:00,0,4,0,0,0,3,2682214,1249546
2011-01-03 08:00:00,0,4,0,0,0,0,2681619,1244314
2011-01-03 09:00:00,8,3,1,0,0,3,2682529,1248772
2011-01-03 15:00:00,8,3,1,0,0,2,2683870,1252916
2011-01-03 18:00:00,2,3,0,1,0,3,2684310,1246456
2011-01-03 20:00:00,0,3,0,0,0,2,2678917,1249157
2011-01-04 15:00:00,1,4,0,0,0,3,2683076,1247962
2011-01-04 17:00:00,2,4,0,0,0,1,2683021,1248941
2011-01-04 18:00:00,7,4,0,0,0,3,2685125,1251524
2011-01-04 18:00:00,8,3,1,0,0,3,2685654,1245262
2011-01-05 01:00:00,0,4,0,0,0,3,2684312,1246444
2011-01-05 10:00:00,7,4,0,0,0,3,2680923,1247933
2011-01-05 10:00:00,7,4,0,0,0,3,2682052,1249744
2011-01-05 13:00:00,7,4,0,0,0,3,2683764,1247770
2011-01-05 15:00:00,8,2,1,0,0,2,2683823,1252844
2011-01-05 16:00:00,7,4,0,0,0,9,2683360,1251717
2011-01-05 16:00:00,7,4,0,0,0,9,2683344,1251713
2011-01-05 18:00:00,1,4,0,0,0,3,2682573,1247512
2011-01-05 19:00:00,4,4,0,0,0,3,2680532,1250024
2011-01-05 19:00:00,0,4,0,0,0,2,2682515,1243955
2011-01-06 07:00:00,4,4,0,0,0,2,2685737,1245714
2011-01-06 07:00:00,0,4,0,0,0,3,2682610,1246717
2011-01-06 10:00:00,1,4,0,0,0,2,2683823,1250573
2011-01-06 11:00:00,0,2,0,0,0,3,2685090,1251336
2011-01-06 12:00:00,1,4,0,0,0,3,2683852,1247192
2011-01-06 14:00:00,7,4,0,0,0,3,2683331,1247079
2011-01-06 16:00:00,1,4,0,0,0,3,2683326,1247991
2011-01-06 17:00:00,8,2,1,0,0,2,2684168,1252463
2011-01-06 17:00:00,1,4,0,0,0,0,2681198,1244282
2011-01-06 19:00:00,7,4,0,0,0,3,2681556,1247623
2011-01-06 23:00:00,7,4,0,0,0,3,2684046,1246526
2011-01-06 23:00:00,7,4,0,0,0,3,2682916,1247309
2011-01-07 02:00:00,0,3,0,0,0,3,2687892,1247241
2011-01-07 06:00:00,8,3,1,0,0,2,2683023,1251960
2011-01-07 07:00:00,0,4,0,0,0,3,2682027,1245818
2011-01-07 08:00:00,7,4,0,0,0,9,2680136,1249541
2011-01-07 08:00:00,0,4,0,0,0,3,2682621,1245811
2011-01-07 12:00:00,7,4,0,0,0,3,2681691,1246940
2011-01-07 12:00:00,0,4,0,0,0,3,2682254,1245127
2011-01-07 12:00:00,7,4,0,0,0,3,2684864,1251343
2011-01-07 13:00:00,5,4,0,0,0,3,2682708,1247113
2011-01-07 14:00:00,4,4,0,0,0,3,2680708,1252618
2011-01-07 16:00:00,7,4,0,0,0,3,2681036,1252944
2011-01-07 17:00:00,7,4,0,0,0,3,2684116,1245800
2011-01-07 17:00:00,2,4,0,0,0,2,2678187,1250199
2011-01-07 20:00:00,3,4,0,0,0,3,2682537,1248958
2011-01-07 21:00:00,4,3,0,0,0,2,2683596,1251467
2011-01-08 09:00:00,2,3,0,0,0,3,2682789,1247449
2011-01-08 10:00:00,7,4,0,0,0,3,2681682,1249139
2011-01-08 16:00:00,2,4,0,0,0,3,2684160,1246194
2011-01-09 02:00:00,7,4,0,0,0,3,2683282,1247819
2011-01-09 04:00:00,2,4,0,0,0,2,2681103,1249300
2011-01-09 11:00:00,7,4,0,0,0,3,2683450,1249829
2011-01-09 17:00:00,7,4,0,0,0,3,2680921,1252849
2011-01-09 17:00:00,5,4,0,0,0,2,2683273,1248081
2011-01-09 17:00:00,7,4,0,0,0,3,2683737,1251336
2011-01-09 22:00:00,1,4,0,0,0,3,2681650,1249182
2011-01-10 07:00:00,3,3,0,0,0,2,2686246,1250733
2011-01-10 09:00:00,7,4,0,0,0,3,2686015,1245055
2011-01-10 12:00:00,7,4,0,0,0,3,2684402,1248175
2011-01-10 12:00:00,7,4,0,0,0,3,2681398,1247249
2011-01-10 13:00:00,7,4,0,0,0,3,2683607,1248238
2011-01-10 13:00:00,3,4,0,0,0,3,2683686,1251391
2011-01-10 16:00:00,0,4,0,0,0,3,2683204,1250111
2011-01-10 17:00:00,8,2,1,0,0,3,2679209,1249592
2011-01-10 17:00:00,3,3,0,1,0,2,2683929,1251265
2011-01-10 22:00:00,2,3,0,0,0,2,2681798,1247624
2011-01-11 08:00:00,7,4,0,0,0,3,2681455,1243433
2011-01-11 08:00:00,0,4,0,0,0,3,2685547,1252389
2011-01-11 16:00:00,7,4,0,0,0,3,2685121,1246149
2011-01-11 16:00:00,6,4,0,0,0,3,2681445,1249824
2011-01-11 16:00:00,2,4,0,0,0,3,2681426,1247760
2011-01-11 16:00:00,2,4,0,0,0,3,2679449,1249102
2011-01-11 16:00:00,7,4,0,0,0,3,2679535,1247573
2011-01-11 17:00:00,1,4,0,0,0,3,2683157,1247960
2011-01-11 18:00:00,1,4,0,0,0,2,2683728,1252055
2011-01-11 18:00:00,8,3,1,0,0,2,2679811,1246849
2011-01-11 18:00:00,3,4,0,0,0,3,2682221,1246323
2011-01-11 21:00:00,4,3,0,0,0,2,2686590,1250581
2011-01-11 21:00:00,2,4,0,0,0,3,2685304,1246376
2011-01-12 07:00:00,1,3,0,1,0,3,2683326,1247995
