Date,AccidentType,AccidentSeverityCategory,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,AvgTemperature,AvgRainDur
2011-01-01 00:00:00,0,4,0,0,0,3,2684605,1245194,2.2,0.0
2011-01-01 01:00:00,0,3,0,1,0,3,2682382,1246980,2.3,0.0
2011-01-01 02:00:00,0,4,0,0,0,9,2682791,1247749,2.3,0.0
2011-01-01 02:00:00,5,3,0,0,0,3,2681199,1247102,2.3,0.0
2011-01-01 03:00:00,0,4,0,0,0,3,2682479,1250690,2.5,0.0
2011-01-01 04:00:00,3,4,0,0,0,3,2683365,1253681,2.7,0.0
2011-01-01 04:00:00,2,4,0,0,0,3,2681841,1249487,2.7,0.0
2011-01-01 05:00:00,1,4,0,0,0,3,2683299,1247929,2.8,0.0
2011-01-01 13:00:00,7,4,0,0,0,3,2682866,1247664,3.2,0.0
2011-01-01 15:00:00,8,2,1,1,0,3,2683238,1246773,2.8,0.0
2011-01-01 16:00:00,2,4,0,0,0,2,2681609,1249037,2.5,0.0
2011-01-01 18:00:00,7,4,0,0,0,3,2683658,1249909,1.7,0.0
2011-01-01 20:00:00,3,3,0,0,0,2,2684424,1251030,1.2,20.1
2011-01-02 13:00:00,2,3,0,0,0,3,2683621,1246913,1.5,2.4
2011-01-02 14:00:00,2,3,0,0,0,3,2683641,1247658,1.7,0.6
2011-01-02 16:00:00,2,4,0,0,0,0,2682119,1243111,1.5,0.4
2011-01-02 21:00:00,4,4,0,0,0,3,2679047,1250858,-0.2,0.0
2011-01-03 04:00:00,0,4,0,0,0,2,2679755,1246862,-3.0,0.0
2011-01-03 07:00:00,4,2,1,0,0,2,2679024,1249093,-3.2,0.0
2011-01-03 08:00:00,3,3,0,1,0,3,2681179,1247560,-3.7,0.0
2011-01-03 08:00:00,0,4,0,0,0,3,2682214,1249546,-3.7,0.0
2011-01-03 08:00:00,0,4,0,0,0,0,2681619,1244314,-3.7,0.0
2011-01-03 09:00:00,8,3,1,0,0,3,2682529,1248772,-3.6,0.0
2011-01-03 15:00:00,8,3,1,0,0,2,2683870,1252916,-0.4,0.0
2011-01-03 18:00:00,2,3,0,1,0,3,2684310,1246456,-1.4,0.0
2011-01-03 20:00:00,0,3,0,0,0,2,2678917,1249157,-2.2,0.0
2011-01-04 15:00:00,1,4,0,0,0,3,2683076,1247962,-0.9,0.0
2011-01-04 17:00:00,2,4,0,0,0,1,2683021,1248941,-1.0,0.0
2011-01-04 18:00:00,7,4,0,0,0,3,2685125,1251524,-1.1,0.1
2011-01-04 18:00:00,8,3,1,0,0,3,2685654,1245262,-1.1,0.1
2011-01-05 01:00:00,0,4,0,0,0,3,2684312,1246444,-2.0,0.0
2011-01-05 10:00:00,7,4,0,0,0,3,2680923,1247933,-0.0,0.0
2011-01-05 10:00:00,7,4,0,0,0,3,2682052,1249744,-0.0,0.0
2011-01-05 13:00:00,7,4,0,0,0,3,2683764,1247770,2.5,0.0
2011-01-05 15:00:00,8,2,1,0,0,2,2683823,1252844,3.1,0.0
2011-01-05 16:00:00,7,4,0,0,0,9,2683360,1251717,2.7,0.0
2011-01-05 16:00:00,7,4,0,0,0,9,2683344,1251713,2.7,0.0
2011-01-05 18:00:00,1,4,0,0,0,3,2682573,1247512,1.6,0.0
